,Employee ID,Employee Name,Age,Gender,Department,Salary,Joining Date,Phone Number,City
0,101,Aftab,23,Male,IT,45000.0,2023-01-15,9876543210,Belagavi
1,102,  Rahul  ,25,Unknown,HR,50000.0,2022-03-20,9876543211,Bangalore
2,103,Priya,0,Female,FINANCE,55000.0,2021-05-10,9876543212,Mysore
3,104,Anjali,22,Unknown,IT,0.0,2023-07-01,9876543213,Hubli
4,105,Rohan,17,Male,SALES,40000.0,2024-02-15,9876543214,Dharwad
5,106,Meena,65,Unknown,HR,52000.0,2020-08-11,9876543215,Belagavi
6,107,Vikas,28,Male,IT,1000000.0,2022-09-05,9876543216,Bangalore
7,108,Arjun,24,Unknown,FINANCE,48000.0,2021-12-01,9876543217,Mysore
8,109,Sneha,26,Female,SALES,47000.0,2023-04-18,9876543218,Hubli
9,110,Kiran,27,Unknown,IT,49000.0,2022-06-30,9876543219,Dharwad
11,111,Pooja,0,Unknown,HR,53000.0,2021-11-20,0,Belagavi
12,112,Rakesh,29,Male,SALES,10000.0,2022-10-10,9876543221,Bangalore
13,113,Divya,24,Unknown,IT,51000.0,2023-02-14,9876543222,Mysore
14,114,Akash,0,Male,IT,46000.0,2022-07-25,9876543223,Hubli
15,115,Nisha,25,Unknown,FINANCE,50000.0,,9876543224,Dharwad
