Student Name,Phone Number,Email ID,Admission Type,Courses Taken,Tenth YOP,Tenth Percentage,Twelth YOP,Twelth Percentage,Degree Yop,Degree Stream,Degree Percentage,Masters Degree YOP,Masters Degree Stream,Masters Degree Percentage,Course_Enrollment_Date
Stud_00001,6633812187,Stud_00001@gmail.com,PAID,Python Selenium,2019,64.05,2021,82.34,2024,BBA,80.77,2026,MCA,82.0,2026-09-07
Stud_00002,8268566422,Stud_00002@gmail.com,PAID,Python Data Science,2019,93.5,2021,64.52,2024,BCA,93.33,2026,MTech,54.0,2026-05-14
Stud_00003,6713245593,Stud_00003@gmail.com,PAID,Python Data Science,2019,89.52,2021,60.0,2025,BE,89.94,2027,ME,66.0,2026-09-09
Stud_00004,9033992219,Stud_00004@gmail.com,PAID,Python FullStack Development,2018,76.74,2020,80.29,2023,BBA,74.94,0,,,2023-05-13
Stud_00005,6117831905,Stud_00005@gmail.com,PAID,Python Selenium,2020,64.89,2022,83.11,2026,BE,82.4,0,,,2026-07-05
Stud_00006,6950033815,Stud_00006@gmail.com,PAID,Python Data Science,2020,95.69,2022,69.93,2025,BCA,88.5,2027,ME,75.0,2026-11-17
Stud_00007,6194616233,Stud_00007@gmail.com,PAID,Python Data Analytics,2017,93.35,2019,83.88,2022,BBA,88.43,0,,,2022-02-06
Stud_00008,8703931061,Stud_00008@gmail.com,PAID,Python Selenium,2017,96.45,2019,75.38,2022,BBA,68.48,2024,ME,49.0,2024-11-14
Stud_00009,7759268842,Stud_00009@gmail.com,INC,Python Data Science,2018,71.6,2020,67.18,2024,BTech,78.93,2026,MTech,54.0,2026-04-15
Stud_00010,7205483456,Stud_00010@gmail.com,PAID,Python Data Science,2020,89.62,2022,94.02,2026,BTech,78.86,2028,ME,35.0,2026-09-06
Stud_00011,8514201002,Stud_00011@gmail.com,PAID,Python Data Analytics,2018,91.06,2020,72.85,2024,BTech,69.52,2026,ME,44.0,2026-04-05
Stud_00012,6727068139,Stud_00012@gmail.com,PAID,Python Data Science,2019,92.16,2021,85.84,2024,Bcom,81.21,2026,ME,58.0,2026-09-17
Stud_00013,6507888778,Stud_00013@gmail.com,INC,Python Data Analytics,2017,71.99,2019,75.41,2023,BTech,65.59,2025,MCA,71.0,2025-03-07
Stud_00014,7946798779,Stud_00014@gmail.com,PAID,Python Selenium,2019,88.88,2021,70.67,2025,BTech,72.13,0,,,2025-05-02
Stud_00015,7225125872,Stud_00015@gmail.com,INC,Python Selenium,2019,93.59,2021,72.6,2024,BCA,90.09,2026,MCA,71.0,2026-10-16
Stud_00016,9350090337,Stud_00016@gmail.com,PAID,Python Data Analytics,2020,69.8,2022,86.69,2025,BBA,83.42,2027,ME,93.0,2026-05-17
Stud_00017,9632028984,Stud_00017@gmail.com,PAID,Python Data Science,2017,62.47,2019,85.11,2022,Bsc,75.52,2024,MCA,75.0,2024-02-11
Stud_00018,6368938558,Stud_00018@gmail.com,PAID,Python Data Science,2020,74.7,2022,83.22,2026,BTech,71.83,2028,ME,65.0,2026-03-21
Stud_00019,6250738617,Stud_00019@gmail.com,PAID,Python Selenium,2019,61.96,2021,73.01,2024,BBA,75.66,2026,MCA,90.0,2026-03-19
Stud_00020,9454437677,Stud_00020@gmail.com,INC,Python Data Analytics,2019,74.87,2021,84.19,2024,Bcom,83.93,2026,MTech,72.0,2026-08-11
Stud_00021,7770472137,Stud_00021@gmail.com,PAID,Python Data Analytics,2020,67.77,2022,88.47,2025,Bsc,87.32,2027,MCA,82.0,2026-07-23
Stud_00022,8777144669,Stud_00022@gmail.com,INC,Python Selenium,2019,70.69,2021,77.58,2025,BTech,94.37,2027,ME,98.0,2026-04-25
Stud_00023,6384804886,Stud_00023@gmail.com,PAID,Python FullStack Development,2019,64.37,2021,69.09,2024,BBA,60.65,2026,MTech,80.0,2026-12-22
Stud_00024,6646073516,Stud_00024@gmail.com,PAID,Python Data Analytics,2017,94.56,2019,83.42,2022,BCA,61.42,2024,ME,72.0,2024-11-12
Stud_00025,6872733383,Stud_00025@gmail.com,PAID,Python Data Analytics,2018,73.71,2020,92.46,2023,Bsc,86.65,2025,ME,44.0,2025-10-07
Stud_00026,7049234657,Stud_00026@gmail.com,INC,Python FullStack Development,2020,91.58,2022,85.16,2025,Bsc,85.2,2027,MTech,97.0,2026-09-24
Stud_00027,7855368348,Stud_00027@gmail.com,INC,Python FullStack Development,2018,97.78,2020,98.89,2024,BE,98.3,2026,MCA,77.0,2026-12-14
Stud_00028,8662202617,Stud_00028@gmail.com,INC,Python Data Analytics,2020,88.37,2022,88.98,2025,Bsc,81.3,0,,,2025-09-26
Stud_00029,9909235561,Stud_00029@gmail.com,INC,Python Selenium,2017,94.18,2019,96.69,2022,BCA,66.32,2024,MTech,83.0,2024-03-23
Stud_00030,6311903615,Stud_00030@gmail.com,PAID,Python Data Science,2018,88.9,2020,66.81,2023,Bsc,84.23,2025,MCA,79.0,2025-11-17
Stud_00031,9516196641,Stud_00031@gmail.com,PAID,Python Selenium,2018,74.53,2020,85.83,2023,BCA,78.84,0,,,2023-06-08
Stud_00032,8594453714,Stud_00032@gmail.com,INC,Python Selenium,2018,91.33,2020,93.55,2024,BTech,69.51,0,,,2024-12-21
Stud_00033,7274479781,Stud_00033@gmail.com,PAID,Python Data Analytics,2019,66.57,2021,64.88,2025,BE,67.39,0,,,2025-03-02
Stud_00034,6620221797,Stud_00034@gmail.com,PAID,Python FullStack Development,2019,77.35,2021,94.05,2025,BTech,94.45,0,,,2025-12-22
Stud_00035,8122011334,Stud_00035@gmail.com,PAID,Python Selenium,2020,95.33,2022,94.63,2025,Bcom,88.64,0,,,2025-02-01
Stud_00036,8229281135,Stud_00036@gmail.com,PAID,Python Selenium,2017,63.54,2019,72.63,2022,Bsc,82.93,2024,ME,42.0,2024-01-11
Stud_00037,8950850177,Stud_00037@gmail.com,PAID,Python Selenium,2017,83.81,2019,88.98,2023,BE,86.77,2025,MTech,38.0,2025-12-18
Stud_00038,7248658910,Stud_00038@gmail.com,PAID,Python Selenium,2018,89.91,2020,86.86,2023,Bcom,76.44,2025,ME,50.0,2025-01-19
Stud_00039,9036267413,Stud_00039@gmail.com,INC,Python Selenium,2020,87.48,2022,61.95,2026,BTech,85.78,2028,MTech,45.0,2026-12-21
Stud_00040,9562791981,Stud_00040@gmail.com,PAID,Python Selenium,2019,77.61,2021,93.02,2024,Bsc,60.26,2026,ME,95.0,2026-05-24
